Pet Type,Emotion,Activity1,Activity2,Activity3,Activity4,Activity5
cats,happy,Cuddle time, Play with toys, Purring session, Treat time, Nap time
cats,sad,Quiet time alone, Soft petting, Comforting treats, Gentle play, Resting
cats,fearful,Create a safe space, Gradual exposure to fears, Soft reassurance, Calming environment, Quiet play
cats,anxious,Gentle approach, Soothing environment, Calming petting, Interactive toys, Create a routine
cats,disgusted,Clean and maintain litter box, Fresh food and water, Grooming session, Comfortable sleeping area, Treats
cats,hateful,Respect personal space, Provide hiding spots, Allow time alone, Calm environment, Gentle interaction
cats,traumatized,Gentle and patient interaction, Create a secure environment, Calm and soothing activities, Slow introduction to new things, Comfortable resting area
cats,sleepless,Establish a bedtime routine, Create a quiet sleeping space, Provide comfortable bedding, Low lighting in the evening, Gentle play before bedtime
cats,tired,Comfortable resting area, Soft blankets and cushions, Calm and quiet environment, Provide a cozy bed, Dim lighting
cats,surprised,Introduce new toys, Create an enriching environment, Gentle and unexpected interactions, Variety in daily routine, Interactive play
cats,angry,Provide space and time alone, Avoid sudden movements, Respect boundaries, Offer favorite treats, Calm and soothing activities
dogs,happy,Play fetch, Go for a run, Training session, Dog park visit, Treat time
dogs,sad,Cuddle time, Gentle play indoors, Treat time, Quiet walk, Resting
dogs,fearful,Create a safe space, Gradual exposure to fears, Gentle reassurance, Calming environment, Quiet play
dogs,anxious,Provide a routine, Gentle exercise, Soothing environment, Interactive toys, Calming petting
dogs,disgusted,Bath time, Grooming session, Fresh food and water, Playtime in a clean area, Comfortable sleeping area
dogs,hateful,Respect personal space, Provide a safe retreat, Allow time alone, Calm environment, Gentle interaction
dogs,traumatized,Gentle and patient interaction, Create a secure environment, Calm and soothing activities, Slow introduction to new things, Comfortable resting area
dogs,sleepless,Establish a bedtime routine, Create a quiet sleeping space, Provide comfortable bedding, Low lighting in the evening, Gentle play before bedtime
dogs,tired,Comfortable resting area, Soft blankets and cushions, Calm and quiet environment, Provide a cozy bed, Dim lighting
dogs,surprised,Introduce new toys, Create an enriching environment, Gentle and unexpected interactions, Variety in daily routine, Interactive play
dogs,angry,Provide space and time alone, Avoid sudden movements, Respect boundaries, Offer favorite treats, Calm and soothing activities
birds,happy,Singing session, Provide varied perches, Play with bird toys, Fresh fruits and vegetables, Bath time
birds,sad,Comfortable resting spot, Gentle petting, Quiet environment, Soft music, Favorite treats
birds,fearful,Provide a secure cage, Gradual exposure to new objects, Gentle reassurance, Calm environment, Quiet play
birds,anxious,Create a routine, Soothing background noise, Gentle interactions, Provide a cozy nest, Calming perches
birds,disgusted,Clean cage and perches, Fresh food and water, Grooming session, Comfortable sleeping area, Treats
fish,happy,Decorate the tank, Provide hiding spots, Feed a variety of foods, Install a bubbler or filter, Observe from a distance
fish,sad,Ensure water quality, Provide comfortable hiding places, Adjust tank lighting, Play soothing music, Offer favorite treats
fish,fearful,Gradual introduction of new elements, Maintain a stable environment, Dim lighting during changes, Provide gentle water flow, Keep noise levels low
fish,anxious,Keep a consistent feeding schedule, Provide a hiding spot, Avoid sudden movements, Gradual changes in the tank setup, Calm and gentle interactions
fish,disgusted,Clean the tank regularly, Monitor water conditions, Remove uneaten food, Provide a well-balanced diet, Maintain a healthy environment
leopard gecko,happy,Provide a warm and cozy habitat, Offer a variety of insects, Create hiding spots, Provide a basking area, Gentle handling
leopard gecko,sad,Ensure proper temperature and humidity, Provide a quiet environment, Offer a comfortable hiding spot, Provide a balanced diet, Gentle interactions
leopard gecko,fearful,Gradual introduction to new environments, Provide secure hiding spots, Gentle handling, Maintain consistent feeding schedule, Avoid sudden movements
leopard gecko,anxious,Provide a routine, Create a secure habitat, Gradual interactions, Offer a variety of hiding spots, Maintain a stable environment
leopard gecko,disgusted,Clean and maintain the habitat, Offer a variety of insects, Provide fresh water, Grooming session, Monitor overall health
leopard gecko,hateful,Respect personal space, Avoid excessive handling, Provide hiding spots, Create a calm environment, Offer favorite treats
leopard gecko,traumatized,Gradual reintroduction to handling, Create a secure and quiet environment, Monitor overall health, Provide a comfortable resting area, Gentle interactions
leopard gecko,sleepless,Ensure proper lighting schedule, Create a quiet nighttime environment, Provide a comfortable hiding spot, Monitor temperature, Offer a balanced diet
leopard gecko,tired,Provide a cozy and comfortable resting area, Maintain proper temperature, Ensure a quiet environment, Offer a variety of hiding spots, Dim lighting during rest
leopard gecko,surprised,Introduce novel items in the habitat, Offer new types of insects, Rearrange hiding spots, Provide interactive toys, Observe from a distance
bearded dragon,happy,Bask under proper lighting, Offer a variety of insects, Create a comfortable basking area, Gentle handling, Provide a spacious habitat
bearded dragon,sad,Ensure proper temperature and lighting, Provide a quiet environment, Offer a comfortable resting spot, Provide a balanced diet, Gentle interactions
bearded dragon,fearful,Gradual introduction to new environments, Provide secure hiding spots,,,
hens,happy,Free-range pecking, Dust bathing, Sunbathing, Foraging for insects, Fresh water and feed
hens,sad,Provide comfortable roosting, Quiet environment, Fresh straw bedding, Offer nutritious treats, Gentle handling
hens,fearful,Gradual exposure to new surroundings, Provide hiding spots, Gentle reassurance, Calm environment, Quiet feed time
hens,anxious,Establish a feeding routine, Provide secure coop, Gentle interactions, Offer a variety of perches, Calming background sounds
hens,disgusted,Clean coop regularly, Provide fresh water and feed, Dust bathing area, Grooming session, Comfortable nesting boxes
hens,hateful,Respect personal space, Gentle handling, Offer nesting privacy, Create a calm environment, Provide favorite treats
hens,traumatized,Gradual reintroduction to handling, Create a secure coop environment, Monitor overall health, Gentle interactions, Comfortable roosting spots
hens,sleepless,Provide a quiet coop, Dim lighting during the night, Comfortable roosting bars, Ensure security, Offer calming sounds
hens,tired,Comfortable nesting boxes, Soft bedding, Calm and quiet coop, Provide a cozy roosting area, Dim lighting during rest
hens,surprised,Introduce new foraging opportunities, Offer novel treats, Rearrange coop layout, Provide interactive toys, Observe from a distance
cows,happy,Open pasture grazing, Sunbathing, Fresh water source, Provide shade, Grooming session
cows,sad,Comfortable resting area, Quiet environment, Gentle grooming, Provide fresh hay, Treat time
cows,fearful,Gradual exposure to new surroundings, Provide secure fencing, Calm interactions, Quiet feeding time, Gentle handling
cows,anxious,Establish a feeding routine, Provide a routine for milking, Gentle interactions, Offer a variety of forage, Calming background sounds
cows,disgusted,Clean and maintain the barn, Fresh water and feed, Grooming session, Comfortable resting area, Treats
cows,hateful,Respect personal space, Gentle grooming, Provide shade, Create a calm environment, Offer favorite treats
cows,traumatized,Gradual reintroduction to handling, Create a secure barn environment, Monitor overall health, Gentle interactions, Comfortable resting area
cows,sleepless,Provide a quiet barn, Dim lighting during the night, Comfortable resting area, Ensure security, Offer calming sounds
cows,tired,Comfortable resting area, Soft bedding, Calm and quiet barn, Provide a cozy stall, Dim lighting during rest
cows,surprised,Introduce new foraging opportunities, Offer novel treats, Rearrange barn layout, Provide interactive toys, Observe from a distance
buffalo,happy,Open pasture grazing, Sunbathing, Fresh water source, Provide shade, Grooming session
buffalo,sad,Comfortable resting area, Quiet environment, Gentle grooming, Provide fresh hay, Treat time
buffalo,fearful,Gradual exposure to new surroundings, Provide secure fencing, Calm interactions, Quiet feeding time, Gentle handling
buffalo,anxious,Establish a feeding routine, Provide a routine for milking, Gentle interactions, Offer a variety of forage, Calming background sounds
buffalo,disgusted,Clean and maintain the barn, Fresh water and feed, Grooming session, Comfortable resting area, Treats
buffalo,hateful,Respect personal space, Gentle grooming, Provide shade, Create a calm environment, Offer favorite treats
buffalo,traumatized,Gradual reintroduction to handling, Create a secure barn environment, Monitor overall health, Gentle interactions, Comfortable resting area
buffalo,sleepless,Provide a quiet barn, Dim lighting during the night, Comfortable resting area, Ensure security, Offer calming sounds
buffalo,tired,Comfortable resting area, Soft bedding, Calm and quiet barn, Provide a cozy stall, Dim lighting during rest
buffalo,surprised,Introduce new foraging opportunities, Offer novel treats, Rearrange barn layout, Provide interactive toys, Observe from a distance
goats,happy,Open pasture grazing, Climbing structures, Fresh water source, Provide shade, Grooming session
goats,sad,Comfortable resting area, Quiet environment, Gentle grooming, Provide fresh hay, Treat time
goats,fearful,Gradual exposure to new surroundings, Provide secure fencing, Calm interactions, Quiet feeding time, Gentle handling
goats,anxious,Establish a feeding routine, Provide climbing opportunities, Gentle interactions, Offer a variety of forage, Calming background sounds
goats,disgusted,Clean and maintain the barn, Fresh water and feed, Grooming session, Comfortable resting area, Treats
goats,hateful,Respect personal space, Gentle grooming, Provide shade, Create a calm environment, Offer favorite treats
goats,traumatized,Gradual reintroduction to handling, Create a secure barn environment, Monitor overall health, Gentle interactions, Comfortable resting area
goats,sleepless,Provide a quiet barn, Dim lighting during the night, Comfortable resting area, Ensure security, Offer calming sounds
goats,tired,Comfortable resting area, Soft bedding, Calm and quiet barn, Provide a cozy stall, Dim lighting during rest
goats,surprised,Introduce new climbing structures, Offer novel treats, Rearrange barn layout, Provide interactive toys, Observe from a distance
sheep,happy,Open pasture grazing, Sunbathing, Fresh water source, Provide shade, Grooming session
sheep,sad,Comfortable resting area, Quiet environment, Gentle grooming, Provide fresh hay, Treat time
sheep,fearful,Gradual exposure to new surroundings, Provide secure fencing, Calm interactions, Quiet feeding time, Gentle handling
sheep,anxious,Establish a feeding routine, Provide shade, Gentle interactions, Offer a variety of forage, Calming background sounds
sheep,disgusted,Clean and maintain the barn, Fresh water and feed, Grooming session, Comfortable resting area, Treats
sheep,hateful,Respect personal space, Gentle grooming, Provide shade, Create a calm environment, Offer favorite treats
sheep,traumatized,Gradual reintroduction to handling, Create a secure barn environment, Monitor overall health, Gentle interactions, Comfortable resting area
